msno,city,bd,gender,registered_via,registration_init_time,Column1,Is_Churn,payment_method_id,payment_plan_days,plan_list_price,actual_amount_paid,is_auto_renew,transaction_date,Column2,membership_expire_date,Column3,Time on board,is_cancel,num_25,num_50,num_75,num_985,num_100,num_unq,total_secs,Loyalty
Uf4DL7z+DPK8Pnb82pao8tC2PfSTuwIvlVDDqUru8SA=,5,32,female,3,20141221,12/21/2014,1,38,90,447,447,0,20170330,3/30/2017,20170628,6/28/2017,920,0,8,4,1,4,36,36,10430.627,0
7KuGYecfAiQCvs2ktZg4aaFvcudRNevM2LqsHGVashU=,5,32,female,3,20131207,12/7/2013,0,40,30,149,149,1,20170316,3/16/2017,20170416,4/16/2017,1226,0,7,1,0,1,21,29,5619.767,5
CqnzYX4UnocVkbygvMXzr6mdRamPSphCOfx/xl7ucPo=,5,32,female,3,20130428,4/28/2013,0,36,30,180,180,1,20170315,3/15/2017,20170314,3/14/2017,1416,1,6,1,0,0,182,36,39684.049,5
qqM5POOe8//uuBUoANMczJibwta0YnUhvtPDVGTwjng=,5,32,female,3,20150920,9/20/2015,0,36,30,180,180,0,20170322,3/22/2017,20170421,4/21/2017,579,0,2,1,2,1,22,26,6026.237,4
EpbEiNi939eNb5EK6p8bE7c3heLnAHGK/qT9kgvxE+0=,5,32,female,3,20121016,10/16/2012,0,33,30,149,149,1,20170228,2/28/2017,20170405,4/5/2017,1632,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5
b6I2j4Aqyq0hA2dHf2ZTcl4r23v8ljSFmdy41XkjGlw=,5,32,female,3,20150205,2/5/2015,0,40,30,149,149,1,20170305,3/5/2017,20170405,4/5/2017,790,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5
GDO2VDV0YXf2iDh54PT1cnM9Dr/KC7GTPAV/aleCv+k=,5,32,female,3,20160808,8/8/2016,0,37,30,149,149,1,20170323,3/23/2017,20170422,4/22/2017,257,0,1,0,0,0,21,20,4549.735,5
hYXqWZcRLo7P13pAZkcz9aFw6DjS0RhN7maOaWZXYpE=,5,32,female,3,20131024,10/24/2013,0,40,30,149,149,1,20170301,3/1/2017,20170406,4/6/2017,1260,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5
BnExar5r1e5+Viwk7korPTVZijDevn5RnjZLGm5NXDo=,5,32,female,3,20130414,4/14/2013,0,36,30,180,180,1,20170319,3/19/2017,20170418,4/18/2017,1465,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5
+8/9VOifEspEhdHYcXnda+koWbrv6JrVEFwnNsQZ+oc=,5,32,female,3,20130627,6/27/2013,0,40,30,149,149,1,20170305,3/5/2017,20170404,4/4/2017,1377,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5
4ejcpSlk9ABaKqfdjGFohuI1KL4vOHcNWoe/sdUN3sw=,5,32,female,3,20120825,8/25/2012,0,39,30,149,149,1,20170331,3/31/2017,20170507,5/7/2017,1716,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5
0lpUEyiQPStyiszpIB8I0GOwSyQcqqGC6HIiNuu4+wg=,5,32,female,3,20140124,1/24/2014,0,40,30,149,149,1,20170306,3/6/2017,20170405,4/5/2017,1167,0,0,1,2,1,32,3,8797.909,5
0KdNg0BeS4hU0TsTXTo+XtqfZbSL7XZxtOYBDgY2GC0=,5,32,female,3,20160228,2/28/2016,0,36,30,180,180,1,20170308,3/8/2017,20170407,4/7/2017,404,0,0,0,0,1,6,7,1730.051,5
GHGR/yCKg+v1Xs7qToce5ccsamim5y902BCGVsdt2mo=,5,32,female,3,20150124,1/24/2015,0,40,30,149,149,1,20170316,3/16/2017,20170415,4/15/2017,812,0,2,0,0,0,10,10,2430.967,5
BYkwjfwUEC3vAaKXW0HJLlLp6BfFur+NnwfgWkVyxIM=,5,32,female,3,20120623,6/23/2012,0,40,30,149,149,1,20170301,3/1/2017,20170406,4/6/2017,1748,0,0,1,0,0,24,25,5649.162,5
Nw6jlcgIckF0DUzuTkRBVVUfYT0qznFHFE4oxyuRHV8=,5,32,female,3,20130123,1/23/2013,0,40,30,149,149,1,20170309,3/9/2017,20170409,4/9/2017,1537,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5
zweVDD2lYA4lCG1lRTxe19y8RJWCFDCPDsRD1nREbi0=,5,32,female,3,20150701,7/1/2015,1,36,30,180,180,1,20170311,3/11/2017,20170310,3/10/2017,618,1,0,3,0,0,24,26,6693.384,5
FioGP3Sgiw4eZjP0kTx5BJZXEiijD5VEVKYsdCg0/P4=,5,32,female,3,20131122,11/22/2013,0,40,30,149,149,1,20170318,3/18/2017,20170417,4/17/2017,1242,0,28,7,6,2,13,54,6301.994,5
OQLGitqLvl1/BrVfw1hpR1x+FrQv4xh0ZPf0baWMou0=,5,32,female,3,20111220,12/20/2011,0,37,30,149,149,1,20170316,3/16/2017,20170415,4/15/2017,1943,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5
AqaNLsLCP+Qycp/dfCW/OhtGq6nB1hxOgzSRAjX5YRs=,5,32,female,3,20150207,2/7/2015,0,36,30,180,180,1,20170301,3/1/2017,20170404,4/4/2017,787,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5
uxcBgrxsxI0c3jX8xzV01ezqcuJLU+0jr3ipwHS9BFU=,5,32,female,3,20130624,6/24/2013,0,30,30,129,129,1,20170323,3/23/2017,20170422,4/22/2017,1398,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5
DuWWD8OdiUCIFEOwX62QGCgRPrhEpFc/5SioIFCt2BU=,5,32,female,3,20160717,7/17/2016,0,39,30,149,149,1,20170228,2/28/2017,20170420,4/20/2017,277,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5
Qr50lYPwP+1y8rxlnXHjRxnKObKNwsfHkV+uiVwHV/g=,5,32,female,3,20130129,1/29/2013,0,36,30,180,180,0,20170323,3/23/2017,20170425,4/25/2017,1547,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4
GaHi3bTM/pvUTFe7h7MOrNxiftwnZWmqpLWGYqnYw3o=,5,32,female,3,20120912,9/12/2012,0,36,30,180,180,1,20170315,3/15/2017,20170414,4/14/2017,1675,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5
+iMClYGFrNF2pQeUTagLjWOPot0VfwhlFtbYgOoZ3zo=,5,32,female,3,20111213,12/13/2011,0,40,30,149,149,1,20170303,3/3/2017,20170402,4/2/2017,1937,0,28,5,3,1,37,64,9871.596,5
6AeNpY2aJPtgqkjRfI8Ym/9XN5D/gcKMvLWvlmKizF4=,5,32,female,3,20130805,8/5/2013,0,40,30,149,149,1,20170228,2/28/2017,20170411,4/11/2017,1345,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5
dSt3SUavfzfetb/00tIV21TfytMeUMSd5ixKxzyjBT8=,5,32,female,3,20130204,2/4/2013,0,33,30,149,149,1,20170331,3/31/2017,20170430,4/30/2017,1546,0,6,1,0,0,41,40,11372.754,5
mR/Hhx7w5UrYrfXHRnxodlHKOIxSKaGJa3PK3aVrp94=,5,32,female,3,20120926,9/26/2012,0,40,30,149,149,1,20170325,3/25/2017,20170425,4/25/2017,1672,0,0,0,0,0,2,2,451.682,5
MklxfVa0ORkiijoySMEfYm0QW2DIMzq/92fOuI1G9h0=,5,32,female,3,20130124,1/24/2013,1,36,30,180,180,0,20160825,8/25/2016,20170621,6/21/2017,1609,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4
whz5a6bun8E7P88B1AIN5rZ1wdaG3y2XT9Gsn8PUVMk=,5,32,female,3,20150921,9/21/2015,0,40,30,149,149,1,20170328,3/28/2017,20170430,4/30/2017,587,0,0,0,0,0,28,28,6753.961,5
hKd8DjCSAxk7IiP3s1atPupwhUzGslX7kTpLTshEpjU=,5,32,female,3,20161006,10/6/2016,0,36,30,180,180,0,20170324,3/24/2017,20170423,4/23/2017,199,0,1,3,0,0,27,25,7083.077,4
c64T15CtRxBhoz33MTKj/0qdSEqfE1cNKIxQ280WAPU=,5,37,female,3,20161220,12/20/2016,0,36,30,180,180,1,20170328,3/28/2017,20170427,4/27/2017,128,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5
z7xUAYh8Q+swf90wANYGblYSw1OY/XiZGdOWxVZwS1c=,5,37,female,3,20150620,6/20/2015,0,39,30,149,149,1,20170228,2/28/2017,20170422,4/22/2017,672,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5
HSIH3ZzfWMJ7qEfrHPSDhMzPayLE02iVO/VBECug2HQ=,5,37,female,3,20120607,6/7/2012,0,36,30,180,180,0,20170327,3/27/2017,20170427,4/27/2017,1785,0,2,1,1,0,8,12,2793.076,4
ZDqTb01s6yDfYiept5uzj4S9BUu1wL17zvfrzDh0B0s=,5,37,female,3,20140412,4/12/2014,0,37,30,149,149,1,20170311,3/11/2017,20170410,4/10/2017,1094,0,0,1,1,0,1,3,536.529,5
pFOS/rQZ7E38xZDNfIeCN/clQM4TYx6Qg43ZtWKKRBE=,5,37,female,3,20130304,3/4/2013,0,40,30,149,149,1,20170324,3/24/2017,20170425,4/25/2017,1513,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5
cNsLEPoh3aODLH+0kST06qlTlOXGI7CAq4eTq6GmFyw=,5,37,female,3,20130215,2/15/2013,0,37,30,149,149,1,20170309,3/9/2017,20170408,4/8/2017,1513,0,0,0,0,0,1,1,233.952,5
DplI/yDtyTDgdOoXDaLFaULtwZeI2eL5Xtb/52a7m6g=,5,37,female,3,20120314,3/14/2012,0,36,30,180,180,1,20170305,3/5/2017,20170406,4/6/2017,1849,0,1,0,0,0,4,4,953.816,5
BQLQNdJvbgHEXyLIBh2G23/JUHInx5sIx3duFSAOs8A=,5,37,female,3,20140707,7/7/2014,0,39,30,149,149,1,20170228,2/28/2017,20170408,4/8/2017,1006,0,1,0,0,0,28,29,6655.915,5
l9dauz+6YrsmTE7n2XRlVHoMfeC3GKk0J9OOBMvEHKc=,5,37,female,3,20130603,6/3/2013,0,39,30,149,149,1,20170228,2/28/2017,20170410,4/10/2017,1407,0,0,0,1,0,1,2,433.909,5
MH+aoIK4umivyDxJ89a8im6HEL5pKJAh2avm2TB1Xls=,5,37,female,3,20140724,7/24/2014,0,39,30,149,149,1,20170228,2/28/2017,20170430,4/30/2017,1011,0,1,0,0,0,85,65,18465.015,5
CxtN3yD9dMmYWGy7LQRwz7tqVgf6XnYxp9/tOadszzA=,5,37,female,3,20140208,2/8/2014,0,39,30,149,149,1,20170331,3/31/2017,20170521,5/21/2017,1198,0,2,1,0,1,5,9,1479.77,5
gJx9CA0SOnPBwcHJt97bcVoozS2nOUj2auh9doYXlYI=,5,37,female,3,20140422,4/22/2014,0,37,30,149,149,1,20170309,3/9/2017,20170408,4/8/2017,1082,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5
dn6ZJ6/wytwqqdpFjcHMv56XtbD4zDoD3okldVi86CY=,5,37,female,3,20120626,6/26/2012,0,40,30,149,149,1,20170305,3/5/2017,20170408,4/8/2017,1747,0,3,1,0,0,206,74,49678.431,5
6zNYrOXUeqr9KzEq+zM+8Y/Yl3EyWlDtbutSp+ptlgU=,5,37,female,3,20130816,8/16/2013,0,39,30,149,149,1,20170228,2/28/2017,20170413,4/13/2017,1336,0,5,1,0,0,247,33,53424.152,5
OOZ5pSoQK2VPQf14DphFAZanNxSkYJnuR9oheZmoEqc=,5,37,female,3,20121208,12/8/2012,0,40,30,149,149,1,20170318,3/18/2017,20170417,4/17/2017,1591,0,13,4,2,3,13,31,5039.485,5
yzDNjIvNta33m+yzIuAXUlPM34giPSnoIB7tdtTiQlQ=,5,37,female,3,20170217,2/17/2017,0,29,30,180,180,0,20170324,3/24/2017,20170423,4/23/2017,65,0,27,2,1,5,32,28,10728.577,4
Ft03/1Yov2jUsNySZcFrs7JYA/wSOuA5cIoIwBmnTWM=,5,37,female,3,20131109,11/9/2013,0,40,30,149,149,1,20170313,3/13/2017,20170413,4/13/2017,1251,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5
CXemHZ8L1Rx0JQiEFZoLUSiSgMmxmRYJYB6ksLAfYMQ=,5,37,female,3,20121225,12/25/2012,0,40,30,149,149,1,20170310,3/10/2017,20170410,4/10/2017,1567,0,4,3,2,2,4,14,1809.494,5
Cn9DjIu5jJmNQ3LRGhdQrF6o7dVVIIblKTm41BgqsCs=,5,37,female,3,20150705,7/5/2015,0,39,30,149,149,1,20170331,3/31/2017,20170430,4/30/2017,665,0,2,1,0,0,75,76,16793.445,5
tQYRtzRxtuwSCm2lGghOhkBXfVaTDVavcFimANlgO4w=,5,37,female,3,20141210,12/10/2014,0,39,30,149,149,1,20170331,3/31/2017,20170520,5/20/2017,892,0,0,0,0,0,16,9,3534.261,5
UXBW+YGzdRnxQ7c6D8PVtL0/e3SzAJwK20X1vybZZyQ=,5,37,female,3,20120208,2/8/2012,0,39,30,149,149,1,20170228,2/28/2017,20170415,4/15/2017,1893,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5
jqCe63egn5GtL69GS+rvxeq+txjv2TAyBGw/pJ5/TkM=,5,37,female,3,20150814,8/14/2015,0,39,30,149,149,1,20170331,3/31/2017,20170517,5/17/2017,642,0,0,0,0,0,7,7,1787.306,5
G3ISEWlY+67O/tMPY84GOwAShbTGXKugJMT+xg8WRg0=,5,37,female,3,20150528,5/28/2015,0,36,30,180,180,0,20170329,3/29/2017,20170428,4/28/2017,701,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4
/te+aPYiGwiX4WtBF9AWPJGrPyIH0JsIPZ8xyOHzch8=,5,37,female,3,20150531,5/31/2015,0,39,30,149,149,1,20170331,3/31/2017,20170523,5/23/2017,723,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5
Ix7S9XAs+5+iflUeMAhDqMrXD2HZSdX3cPCJEHjUn2w=,5,37,female,3,20141130,11/30/2014,0,39,30,149,149,1,20170331,3/31/2017,20170506,5/6/2017,888,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5
flEsBsFRmNZ14bndplFlnRNWrWHf7EIE4tYCYqNK7I4=,5,37,female,3,20120503,5/3/2012,0,27,30,149,149,1,20170323,3/23/2017,20170422,4/22/2017,1815,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5
OVX7hw2jpPsn86KFUr7oMw8ufnICNbyE6MBjy6FCei4=,5,37,female,3,20140407,4/7/2014,0,40,30,149,149,1,20170323,3/23/2017,20170422,4/22/2017,1111,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5
XZIbNLyBwyelEABkAsaFRxjrR2LppfQ4fdk16JTFTcY=,5,37,female,3,20141231,12/31/2014,0,36,30,180,180,1,20170301,3/1/2017,20170402,4/2/2017,823,0,26,6,2,0,4,24,2110.416,5
fY6MtjoWIjX4z43AGCiKC57pvaeSnq/kCoU7tyTHzNo=,5,37,female,3,20130506,5/6/2013,0,37,30,149,149,1,20170325,3/25/2017,20170424,4/24/2017,1449,0,0,0,0,0,4,4,1053.637,5
